geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037134303,6037134303,2022,1924,92461,92461
1400000US06037134304,6037134304,2022,957,74875,74875
1400000US06037134305,6037134305,2022,1232,50278,50278
1400000US06037134306,6037134306,2022,1465,51268,51268
1400000US06037134421,6037134421,2022,1550,124767,124767
1400000US06037134422,6037134422,2022,1676,157969,157969
1400000US06037134423,6037134423,2022,1356,115189,115189
1400000US06037134424,6037134424,2022,1030,149000,149000
1400000US06037134520,6037134520,2022,2121,50139,50139
1400000US06037134521,6037134521,2022,781,53145,53145
1400000US06037134522,6037134522,2022,1563,49375,49375
1400000US06037134710,6037134710,2022,1660,52683,52683
1400000US06037134720,6037134720,2022,1790,86375,86375
1400000US06037134801,6037134801,2022,1147,97381,97381
1400000US06037134802,6037134802,2022,910,83984,83984
1400000US06037134901,6037134901,2022,1039,78526,78526
1400000US06037134904,6037134904,2022,1515,75769,75769
1400000US06037134905,6037134905,2022,3161,100103,100103
1400000US06037134906,6037134906,2022,1165,83302,83302
1400000US06037134907,6037134907,2022,1839,99342,99342
1400000US06037135102,6037135102,2022,1305,153750,153750
1400000US06037135111,6037135111,2022,1338,98490,98490
1400000US06037135113,6037135113,2022,1524,110489,110489
1400000US06037135115,6037135115,2022,1965,86169,86169
1400000US06037135116,6037135116,2022,1033,68162,68162
1400000US06037135201,6037135201,2022,936,123460,123460
1400000US06037135202,6037135202,2022,1531,130156,130156
1400000US06037135204,6037135204,2022,1639,112765,112765
1400000US06037135205,6037135205,2022,781,121339,121339
1400000US06037137000,6037137000,2022,1808,108224,108224
1400000US06037137103,6037137103,2022,2564,90964,90964
1400000US06037137104,6037137104,2022,1022,98445,98445
1400000US06037137202,6037137202,2022,1435,71346,71346
1400000US06037137203,6037137203,2022,848,119385,119385
1400000US06037137301,6037137301,2022,801,181571,181571
1400000US06037137302,6037137302,2022,1614,167500,167500
1400000US06037137401,6037137401,2022,1722,143859,143859
1400000US06037137402,6037137402,2022,2214,145182,145182
1400000US06037137501,6037137501,2022,2137,112800,112800
1400000US06037137502,6037137502,2022,1923,129395,129395
1400000US06037137504,6037137504,2022,702,203750,203750
1400000US06037138000,6037138000,2022,1925,130690,130690
1400000US06037139001,6037139001,2022,2287,98926,98926
1400000US06037139200,6037139200,2022,2408,94250,94250
1400000US06037139301,6037139301,2022,1587,175673,175673
1400000US06037139302,6037139302,2022,2022,80119,80119
1400000US06037139303,6037139303,2022,2277,56200,56200
1400000US06037139401,6037139401,2022,1246,78320,78320
1400000US06037139402,6037139402,2022,1014,172500,172500
1400000US06037139502,6037139502,2022,1262,119707,119707
1400000US06037139504,6037139504,2022,1970,65625,65625
1400000US06037139505,6037139505,2022,1593,45833,45833
1400000US06037139506,6037139506,2022,1486,67538,67538
1400000US06037139600,6037139600,2022,2435,94444,94444
1400000US06037139701,6037139701,2022,2326,153875,153875
1400000US06037139703,6037139703,2022,964,176875,176875
1400000US06037139704,6037139704,2022,1037,132050,132050
1400000US06037139705,6037139705,2022,1318,250000,250000
1400000US06037139801,6037139801,2022,1276,203125,203125
1400000US06037139802,6037139802,2022,1434,221398,221398
1400000US06037141101,6037141101,2022,2579,85313,85313
1400000US06037141102,6037141102,2022,1498,109976,109976
1400000US06037141201,6037141201,2022,2268,78795,78795
1400000US06037141202,6037141202,2022,1535,103157,103157
1400000US06037141303,6037141303,2022,1776,89375,89375
1400000US06037141304,6037141304,2022,1653,103894,103894
1400000US06037141305,6037141305,2022,1478,95938,95938
1400000US06037141306,6037141306,2022,1648,97355,97355
1400000US06037141400,6037141400,2022,2115,104877,104877
1400000US06037141500,6037141500,2022,1143,209320,209320
1400000US06037141600,6037141600,2022,1947,177031,177031
1400000US06037141700,6037141700,2022,1382,250000,250000
1400000US06037143101,6037143101,2022,1165,96827,96827
1400000US06037143102,6037143102,2022,1222,104455,104455
1400000US06037143200,6037143200,2022,2278,84513,84513
1400000US06037143301,6037143301,2022,1652,88365,88365
